1|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000003||0.0000|0.0000|0.0000|0.0000|0.8059|0.0000|0|0.0000|0|0.236000001430511|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
2|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000004||0.0000|0.0000|0.0000|0.0000|0.8089|0.0000|0|0.0000|0|0.231000006198883|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
3|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000005||0.0000|0.0000|0.0000|0.0000|1.0126|0.0000|0|0.0000|0|0.0579999983310699|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
4|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000007||0.0000|0.0000|0.0000|0.0000|1.1354|0.0000|0|0.0000|0|0.0970000028610229|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
5|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000014||0.0000|0.0000|0.0000|0.0000|1.1660|0.0000|0|0.0000|0|0.0820000022649765|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
6|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000015||0.0000|0.0000|0.0000|0.0000|1.1638|0.0000|0|0.0000|0|0.0659999996423721|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
7|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000016||0.0000|0.0000|0.0000|0.0000|1.1427|0.0000|0|0.0000|0|0.0579999983310699|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
8|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000022||0.0000|0.0000|0.0000|0.0000|1.1569|0.0000|0|0.0000|0|0.034000001847744|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
9|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000023||0.0000|0.0000|0.0000|0.0000|1.1453|0.0000|0|0.0000|0|0.0329999998211861|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
10|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000024||0.0000|0.0000|0.0000|0.0000|1.0663|0.0000|0|0.0000|0|0.0270000007003546|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
11|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000025||0.0000|0.0000|0.0000|0.0000|1.0583|0.0000|0|0.0000|0|0.0280000008642673|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
12|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000026||0.0000|0.0000|0.0000|0.0000|1.0194|0.0000|0|0.0000|0|0.0410000011324883|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
13|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000027||0.0000|0.0000|0.0000|0.0000|1.0145|0.0000|0|0.0000|0|0.0469999983906746|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
14|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000032||0.0000|0.0000|0.0000|0.0000|1.2397|0.0000|0|0.0000|0|0.0560000017285347|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
15|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000033||0.0000|0.0000|0.0000|0.0000|1.2176|0.0000|0|0.0000|0|0.0529999993741512|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
16|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000037||0.0000|0.0000|0.0000|0.0000|1.0000|0.0000|0|0.0000|0|0.0|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
17|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000038||0.0000|0.0000|0.0000|0.0000|1.0000|0.0000|0|0.0000|0|0.0|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
18|N|2017-07-14 15:11:16|2017-07-14 15:11:16|000045||0.0000|0.0000|0.0000|0.0000|1.2637|0.0000|0|0.0000|0|0.136000007390976|0.0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000|0|0|0|0|0
